query-id	corpus-id	score
trec-20226	NCT00002622	2
trec-20226	NCT00002872	2
trec-20226	NCT00005636	2
trec-20226	NCT00019825	2
trec-20226	NCT00037817	2
trec-20226	NCT00042770	2
trec-20226	NCT00094978	2
trec-20226	NCT00114205	2
trec-20226	NCT00165555	2
trec-20226	NCT00166894	2
trec-20226	NCT00172835	2
trec-20226	NCT00227630	2
trec-20226	NCT00242723	2
trec-20226	NCT00313066	2
trec-20226	NCT00316134	2
trec-20226	NCT00430664	2
trec-20226	NCT00469196	2
trec-20226	NCT00473291	2
trec-20226	NCT00504738	2
trec-20226	NCT00509041	2
trec-20226	NCT00637078	2
trec-20226	NCT00637676	2
trec-20226	NCT00639067	2
trec-20226	NCT00644319	2
trec-20226	NCT00690261	2
trec-20226	NCT00715611	2
trec-20226	NCT00758316	2
trec-20226	NCT00789087	2
trec-20226	NCT00896285	2
trec-20226	NCT00978939	2
trec-20226	NCT01105390	2
trec-20226	NCT01125124	2
trec-20226	NCT01141946	2
trec-20226	NCT01193439	2
trec-20226	NCT01196585	2
trec-20226	NCT01262612	2
trec-20226	NCT01409551	2
trec-20226	NCT01411202	2
trec-20226	NCT01580982	2
trec-20226	NCT01601444	2
trec-20226	NCT01624090	2
trec-20226	NCT01756742	2
trec-20226	NCT01766739	2
trec-20226	NCT01778270	2
trec-20226	NCT01819363	2
trec-20226	NCT01952327	2
trec-20226	NCT01952431	2
trec-20226	NCT01973985	2
trec-20226	NCT02024113	2
trec-20226	NCT02045121	2
trec-20226	NCT02062632	2
trec-20226	NCT02092155	2
trec-20226	NCT02172027	2
trec-20226	NCT02192138	2
trec-20226	NCT02208895	2
trec-20226	NCT02227732	2
trec-20226	NCT02246946	2
trec-20226	NCT02269761	2
trec-20226	NCT02300883	2
trec-20226	NCT02320617	2
trec-20226	NCT02414269	2
trec-20226	NCT02436850	2
trec-20226	NCT02517749	2
trec-20226	NCT02518100	2
trec-20226	NCT02521922	2
trec-20226	NCT02524470	2
trec-20226	NCT02548221	2
trec-20226	NCT02583282	2
trec-20226	NCT02602119	2
trec-20226	NCT02613299	2
trec-20226	NCT02613312	2
trec-20226	NCT02627274	2
trec-20226	NCT02648763	2
trec-20226	NCT02649894	2
trec-20226	NCT02677883	2
trec-20226	NCT02724462	2
trec-20226	NCT02809872	2
trec-20226	NCT02825095	2
trec-20226	NCT02851927	2
trec-20226	NCT02975921	2
trec-20226	NCT03153501	2
trec-20226	NCT03172052	2
trec-20226	NCT03189108	2
trec-20226	NCT03270215	2
trec-20226	NCT03276715	2
trec-20226	NCT03290183	2
trec-20226	NCT03319186	2
